timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3056503394,3056502687,-0.99937785,-0.004403342,-0.01358557,0.032248456,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056558275,3056557632,-0.99937636,-0.00442256,-0.013634997,0.03227163,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056603237,3056602588,-0.99937576,-0.0044271103,-0.013634139,0.032290123,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056653151,3056652540,-0.99937505,-0.004444387,-0.013665716,0.032296624,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056708084,3056707487,-0.99937505,-0.004434602,-0.013667144,0.032297384,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056758003,3056757439,-0.9993763,-0.0044334843,-0.01361929,0.032281257,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056802943,3056802396,-0.9993757,-0.004448339,-0.013676799,0.032270737,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056852878,3056852348,-0.999377,-0.0044402457,-0.0136323,0.03224988,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056907810,3056907294,-0.99937737,-0.0044528698,-0.013670689,0.032222323,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056952780,3056952251,-0.9993769,-0.0044635464,-0.013685929,0.032226864,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057002726,3057002203,-0.99937683,-0.0044620717,-0.013678786,0.032233518,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057057667,3057057150,-0.9993761,-0.004466396,-0.013698649,0.03224741,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057107629,3057107102,-0.9993757,-0.0044604023,-0.013691138,0.03226547,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057152577,3057152062,-0.99937516,-0.0044429684,-0.013696625,0.032280605,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057202606,3057202010,-0.9993746,-0.0044556377,-0.013689183,0.032299336,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057257676,3057256957,-0.99937356,-0.0044595404,-0.013683655,0.032333083,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057307499,3057306909,-0.9993732,-0.0044449847,-0.013666572,0.03235484,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057352481,3057351866,-0.9993728,-0.004443218,-0.013666461,0.032364625,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057407428,3057406813,-0.9993719,-0.004452127,-0.013669186,0.03239258,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057457446,3057456765,-0.99937177,-0.0044506816,-0.0136666745,0.03239635,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057502382,3057501721,-0.9993719,-0.004428381,-0.0136533305,0.032399982,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057552346,3057551673,-0.99937123,-0.004434691,-0.013656199,0.032418173,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057607251,3057606620,-0.9993708,-0.0044358834,-0.013672655,0.032426745,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057657097,3057656572,-0.9993711,-0.004419973,-0.013639783,0.032432176,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057702046,3057701529,-0.99937004,-0.004413856,-0.013665463,0.032456204,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057757020,3057756476,-0.99937,-0.004426963,-0.013649526,0.032461163,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057806954,3057806427,-0.9993694,-0.00441489,-0.013659276,0.032479167,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057856916,3057856380,-0.99936944,-0.004422906,-0.013641245,0.032481425,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057901854,3057901336,-0.99936944,-0.004437995,-0.013669923,0.03246856,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3057956870,3057956283,-0.99937075,-0.0044249264,-0.013625789,0.03244925,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058006887,3058006235,-0.9993708,-0.0044267834,-0.013645138,0.032437716,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058051869,3058051191,-0.999371,-0.0044350037,-0.013632082,0.032437477,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058106815,3058106138,-0.99937093,-0.004444226,-0.0136467945,0.0324329,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058156779,3058156091,-0.9993713,-0.004447401,-0.013638505,0.032425404,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058206718,3058206042,-0.9993707,-0.004449073,-0.013651632,0.032435402,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058251677,3058250999,-0.99937075,-0.004442819,-0.013624414,0.032448605,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058306583,3058305946,-0.99937075,-0.00444798,-0.013631696,0.032443933,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058356450,3058355898,-0.9993704,-0.004452306,-0.013637046,0.032450516,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058406386,3058405849,-0.9993707,-0.0044541834,-0.013617644,0.032451313,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058456339,3058455801,-0.99937034,-0.00446295,-0.013637218,0.032449666,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058506364,3058505753,-0.99937046,-0.00446531,-0.013625625,0.03245261,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058556293,3058555705,-0.9993708,-0.0044585103,-0.013619651,0.03244428,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058601332,3058600662,-0.9993705,-0.004473667,-0.013643397,0.03244102,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058656198,3058655609,-0.9993713,-0.004487681,-0.013617354,0.032426506,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058706117,3058705560,-0.99937105,-0.0045064935,-0.013629249,0.032428533,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058756136,3058755512,-0.99937046,-0.004512659,-0.013627319,0.0324434,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058806187,3058805469,-0.9993706,-0.0045131757,-0.013593197,0.03245579,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058856002,3058855416,-0.99936897,-0.004527699,-0.013635396,0.032483872,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058905950,3058905368,-0.99936837,-0.004525131,-0.013616539,0.032512724,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3058955903,3058955320,-0.99936783,-0.004531033,-0.0136233205,0.032524977,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059005861,3059005272,-0.99936724,-0.004541725,-0.013623718,0.03254298,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059055789,3059055231,-0.9993675,-0.0045407675,-0.013613361,0.03253843,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059105721,3059105175,-0.9993675,-0.0045488426,-0.01363181,0.03252789,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3059155650,3059155127,-0.9993682,-0.0045370827,-0.01362746,0.032509383,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
