timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3364686681,0,1,1,1,1,1,1,0,0,0,1,0
3365696871,0,1,1,1,1,1,1,1,0,0,1,0
3366704841,0,1,1,1,1,1,1,0,0,0,1,0
3367714706,0,1,1,1,1,1,1,0,0,0,1,0
3368722868,0,1,1,1,1,1,1,0,0,0,1,0
3369731781,0,1,1,1,1,1,1,0,0,0,1,0
3370741741,0,1,1,1,1,1,1,0,0,0,1,0
3371750069,0,1,1,1,1,1,1,0,0,0,1,0
3372759769,0,1,1,1,1,1,1,1,0,0,1,0
3373767837,0,1,1,1,1,1,1,0,0,0,1,0
3374777738,0,1,1,1,1,1,1,0,0,0,1,0
3375785798,0,1,1,1,1,1,1,0,0,0,1,0
3376176567,0,1,1,1,1,1,1,0,0,0,1,1
3377184581,0,1,1,1,1,1,1,0,0,0,1,1
3378194582,0,1,1,1,1,1,1,0,0,0,1,1
3379202434,0,1,1,1,1,1,1,0,0,0,1,1
3380202519,0,1,1,1,1,1,1,0,0,0,1,1
3381210561,0,1,1,1,1,1,1,0,0,0,1,1
3382220598,0,1,1,1,1,1,1,0,0,0,1,1
3383228465,0,1,1,1,1,1,1,0,0,0,1,1
3384238591,0,1,1,1,1,1,1,0,0,0,1,1
3385246482,0,1,1,1,1,1,1,0,0,0,1,1
3386256470,0,1,1,1,1,1,1,0,0,0,1,1
3387264569,0,1,1,1,1,1,1,0,0,0,1,1
3388274438,0,1,1,1,1,1,1,0,0,0,1,1
3389282421,0,1,1,1,1,1,1,0,0,0,1,1
3390282603,0,1,1,1,1,1,1,0,0,0,1,1
3391290459,0,1,1,1,1,1,1,0,0,0,1,1
3392300464,0,1,1,1,1,1,1,0,0,0,1,1
3393308555,0,1,1,1,1,1,1,0,0,0,1,1
3394318603,0,1,1,1,1,1,1,0,0,0,1,1
3395326445,0,1,1,1,1,1,1,0,0,0,1,1
3396336755,0,1,1,1,1,1,1,0,0,0,1,1
3397344631,0,1,1,1,1,1,1,0,0,0,1,1
3398354409,0,1,1,1,1,1,1,0,0,0,1,1
3399362602,0,1,1,1,1,1,1,0,0,0,1,1
3400371426,0,1,1,1,1,1,1,0,0,0,1,1
3401381579,0,1,1,1,1,1,1,0,0,0,1,1
3402389370,0,1,1,1,1,1,1,0,0,0,1,1
3403399486,0,1,1,1,1,1,1,0,0,0,1,1
3404347628,0,1,1,1,1,1,1,0,0,0,1,0
3405357564,0,1,1,1,1,1,1,1,0,0,1,0
3406365738,0,1,1,1,1,1,1,0,0,0,1,0
3407375748,0,1,1,1,1,1,1,0,0,0,1,0
3408383604,0,1,1,1,1,1,1,0,0,0,1,0
3409393747,0,1,1,1,1,1,1,0,0,0,1,0
3410402684,0,1,1,1,1,1,1,0,0,0,1,0
3411410802,0,1,1,1,1,1,1,0,0,0,1,0
3412420659,0,1,1,1,1,1,1,0,0,0,1,0
3413428690,0,1,1,1,1,1,1,0,0,0,1,0
