timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3245108289,-0.067593455,0,0,0,0,0,0,0,0,0
3245618290,-0.0576517,0,0,0,0,0,0,0,0,0
3246128289,-0.051218834,0,0,0,0,0,0,0,0,0
3246629609,-0.046336286,0,0,0,0,0,0,0,0,0
3247139686,-0.040426027,0,0,0,0,0,0,0,0,0
3247650320,-0.03568702,0,0,0,0,0,0,0,0,0
3248160355,-0.028646156,0,0,0,0,0,0,0,0,0
3248660388,-0.023739181,0,0,0,0,0,0,0,0,0
3249170412,-0.01971312,0,0,0,0,0,0,0,0,0
3249671289,-0.015358231,0,0,0,0,0,0,0,0,0
3250171473,-0.011890419,0,0,0,0,0,0,0,0,0
3250682834,-0.007939882,0,0,0,0,0,0,0,0,0
3251193374,-0.00375957,0,0,0,0,0,0,0,0,0
3251693450,-0.002328855,0,0,0,0,0,0,0,0,0
3252204025,-0.0011269872,0,0,0,0,0,0,0,0,0
3252714584,-0.0011674191,0,0,0,0,0,0,0,0,0
3253225432,0.003023267,0,0,0,0,0,0,0,0,0
3253735579,0.0036108068,0,0,0,0,0,0,0,0,0
3254245595,0.0025767272,0,0,0,0,0,0,0,0,0
3254756037,-0.0017092689,0,0,0,0,0,0,0,0,0
3255255935,-0.0070096334,0,0,0,0,0,0,0,0,0
3255765493,-0.007954394,0,0,0,0,0,0,0,0,0
3256276320,-0.008483622,0,0,0,0,0,0,0,0,0
3256786487,-0.010475379,0,0,0,0,0,0,0,0,0
3257297808,-0.010523863,0,0,0,0,0,0,0,0,0
3257808932,-0.016543563,0,0,0,0,0,0,0,0,0
3258319462,-0.025026187,0,0,0,0,0,0,0,0,0
3258829292,-0.025773602,0,0,0,0,0,0,0,0,0
3259329330,-0.031653833,0,0,0,0,0,0,0,0,0
3259839363,-0.032919288,0,0,0,0,0,0,0,0,0
3260339436,-0.031703964,0,0,0,0,0,0,0,0,0
3260850400,-0.029536922,0,0,0,0,0,0,0,0,0
3261360290,-0.028680282,0,0,0,0,0,0,0,0,0
3261860407,-0.029939195,0,0,0,0,0,0,0,0,0
3262370355,-0.0246251,0,0,0,0,0,0,0,0,0
3262881386,-0.0254089,0,0,0,0,0,0,0,0,0
3263391529,-0.02008742,0,0,0,0,0,0,0,0,0
3263903063,-0.019200305,0,0,0,0,0,0,0,0,0
3264414045,-0.016983373,0,0,0,0,0,0,0,0,0
3264923365,-0.01183741,0,0,0,0,0,0,0,0,0
3265433414,-0.014152146,0,0,0,0,0,0,0,0,0
3265944425,-0.012392003,0,0,0,0,0,0,0,0,0
3266454330,-0.0114609655,0,0,0,0,0,0,0,0,0
3266954762,-0.016089924,0,0,0,0,0,0,0,0,0
3267464394,-0.017983288,0,0,0,0,0,0,0,0,0
3267975441,-0.014412358,0,0,0,0,0,0,0,0,0
3268485940,-0.029406099,0,0,0,0,0,0,0,0,0
