timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3350890327,0,1,0,1,0,1,1,0,1,1,1,1,0
3351401128,0,1,0,1,0,1,1,0,1,1,1,1,0
3351911464,0,1,0,1,0,1,1,0,1,1,1,1,0
3352421283,0,1,0,1,0,1,1,0,1,1,1,1,0
3352921421,0,1,0,1,0,1,1,0,1,1,1,1,0
3353431322,0,1,0,1,0,1,1,0,1,1,1,1,0
3353942319,0,1,0,1,0,1,1,0,1,1,1,1,0
3354442430,0,1,0,1,0,1,1,0,1,1,1,1,0
3354952281,0,1,0,1,0,1,1,0,1,1,1,1,0
3355452847,0,1,0,1,0,1,1,0,1,1,1,1,0
3355962460,0,1,0,1,0,1,1,0,1,1,1,1,0
3356473278,0,1,0,1,0,1,1,0,1,1,1,1,0
3356983302,0,1,0,1,0,1,1,0,1,1,1,1,0
3357484072,0,1,0,1,0,1,1,0,1,1,1,1,0
3357994522,0,1,0,1,0,1,1,0,1,1,1,1,0
3358505614,0,1,0,1,0,1,1,0,1,1,1,1,0
3359015550,0,1,0,1,0,1,1,0,1,1,1,1,0
3359524565,0,1,0,1,0,1,1,0,1,1,1,1,0
3360035458,0,1,0,1,0,1,1,0,1,1,1,1,0
3360546419,0,1,0,1,0,1,1,0,1,1,1,1,0
3361056278,0,1,0,1,0,1,1,0,1,1,1,1,0
3361566779,0,1,0,1,0,1,1,0,1,1,1,1,0
3362077437,0,1,0,1,0,1,1,0,1,1,1,1,0
3362587280,0,1,0,1,0,1,1,0,1,1,1,1,0
3363099589,0,1,0,1,0,1,1,0,1,1,1,1,0
3363610309,0,1,0,1,0,1,1,0,1,1,1,1,0
3364120296,0,1,0,1,0,1,1,0,1,1,1,1,0
