timestamp,armed_time,takeoff_time,nav_state_timestamp,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,avoidance_system_required,avoidance_system_valid,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
3134297449,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3134798497,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3135309310,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3135820278,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3136330543,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3136832037,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3137342765,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3137853280,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3138363324,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3138874706,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3139384282,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3139895393,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3140405941,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3140916325,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3141426281,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3141938463,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3142438552,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3142948279,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3143458564,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3143969321,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3144469576,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3144979280,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3145480881,0,0,574755,0,1,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
