timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3187624229,0,0,1,0,0,0,0
3188125742,0,0,1,0,0,0,0
3188636337,0,0,1,0,0,0,0
3189146318,0,0,1,0,0,0,0
3189657314,0,0,1,0,0,0,0
3190160273,0,0,1,0,0,0,0
3190671590,0,0,1,0,0,0,0
3191181961,0,0,1,0,0,0,0
3191692316,0,0,1,0,0,0,0
3192203277,0,0,1,0,0,0,0
3192713299,0,0,1,0,0,0,0
3193213440,0,0,1,0,0,0,0
3193724274,0,0,1,0,0,0,0
3194233916,0,0,1,0,0,0,0
3194744474,0,0,1,0,0,0,0
3195255464,0,0,1,0,0,0,0
3195765389,0,0,1,0,0,0,0
3196266166,0,0,1,0,0,0,0
3196777471,0,0,1,0,0,0,0
3197287315,0,0,1,0,0,0,0
3197797404,0,0,1,0,0,0,0
3198309193,0,0,1,0,0,0,0
3198809275,0,0,1,0,0,0,0
3199309391,0,0,1,0,0,0,0
3199819536,0,0,1,0,0,0,0
3200330735,0,0,1,0,0,0,0
3200840274,0,0,1,0,0,0,0
3201350273,0,0,1,0,0,0,0
3201862109,0,0,1,0,0,0,0
3202372318,0,0,1,0,0,0,0
3202883274,0,0,1,0,0,0,0
3203393355,0,0,1,0,0,0,0
3203893544,0,0,1,0,0,0,0
3204403273,0,0,1,0,0,0,0
3204913484,0,0,1,0,0,0,0
3205424336,0,0,1,0,0,0,0
3205935422,0,0,1,0,0,0,0
3206445384,0,0,1,0,0,0,0
3206946840,0,0,1,0,0,0,0
3207456892,0,0,1,0,0,0,0
3207967276,0,0,1,0,0,0,0
3208477298,0,0,1,0,0,0,0
3208979390,0,0,1,0,0,0,0
3209489771,0,0,1,0,0,0,0
3210000302,0,0,1,0,0,0,0
3210511276,0,0,1,0,0,0,0
3211021328,0,0,1,0,0,0,0
3211530312,0,0,1,0,0,0,0
3212042648,0,0,1,0,0,0,0
3212552313,0,0,1,0,0,0,0
3213063371,0,0,1,0,0,0,0
3213574478,0,0,1,0,0,0,0
3214084608,0,0,1,0,0,0,0
3214595407,0,0,1,0,0,0,0
3215105539,0,0,1,0,0,0,0
3215616312,0,0,1,0,0,0,0
3216127584,0,0,1,0,0,0,0
3216638227,0,0,1,0,0,0,0
3217148448,0,0,1,0,0,0,0
3217659306,0,0,1,0,0,0,0
3218169276,0,0,1,0,0,0,0
3218680280,0,0,1,0,0,0,0
3219191470,0,0,1,0,0,0,0
3219701352,0,0,1,0,0,0,0
3220211381,0,0,1,0,0,0,0
3220722273,0,0,1,0,0,0,0
3221234013,0,0,1,0,0,0,0
3221744274,0,0,1,0,0,0,0
3222253274,0,0,1,0,0,0,0
3222753462,0,0,1,0,0,0,0
3223263687,0,0,1,0,0,0,0
3223774434,0,0,1,0,0,0,0
3224284584,0,0,1,0,0,0,0
3224785388,0,0,1,0,0,0,0
3225294788,0,0,1,0,0,0,0
3225805624,0,0,1,0,0,0,0
3226316302,0,0,1,0,0,0,0
3226826276,0,0,1,0,0,0,0
3227327228,0,0,1,0,0,0,0
3227838432,0,0,1,0,0,0,0
3228339352,0,0,1,0,0,0,0
3228849274,0,0,1,0,0,0,0
3229349678,0,0,1,0,0,0,0
3229859416,0,0,1,0,0,0,0
3230370573,0,0,1,0,0,0,0
3230881276,0,0,1,0,0,0,0
3231391330,0,0,1,0,0,0,0
3231893990,0,0,1,0,0,0,0
3232404277,0,0,1,0,0,0,0
3232904315,0,0,1,0,0,0,0
3233404510,0,0,1,0,0,0,0
3233915642,0,0,1,0,0,0,0
3234425386,0,0,1,0,0,0,0
3234925920,0,0,1,0,0,0,0
3235435445,0,0,1,0,0,0,0
3235946276,0,0,1,0,0,0,0
3236456324,0,0,1,0,0,0,0
3236968348,0,0,1,0,0,0,0
3237479094,0,0,1,0,0,0,0
3237989340,0,0,1,0,0,0,0
3238499351,0,0,1,0,0,0,0
3239001275,0,0,1,0,0,0,0
3239511310,0,0,1,0,0,0,0
3240013294,0,0,1,0,0,0,0
3240524871,0,0,1,0,0,0,0
3241035756,0,0,1,0,0,0,0
3241545407,0,0,1,0,0,0,0
3242056875,0,0,1,0,0,0,0
3242566311,0,0,1,0,0,0,0
3243077423,0,0,1,0,0,0,0
3243587451,0,0,1,0,0,0,0
3244097352,0,0,1,0,0,0,0
3244607317,0,0,1,0,0,0,0
3245108275,0,0,1,0,0,0,0
3245618274,0,0,1,0,0,0,0
3246128274,0,0,1,0,0,0,0
3246629567,0,0,1,0,0,0,0
3247139670,0,0,1,0,0,0,0
3247650275,0,0,1,0,0,0,0
3248160342,0,0,1,0,0,0,0
3248660374,0,0,1,0,0,0,0
3249170398,0,0,1,0,0,0,0
3249671275,0,0,1,0,0,0,0
3250171459,0,0,1,0,0,0,0
3250682820,0,0,1,0,0,0,0
3251193282,0,0,1,0,0,0,0
3251693436,0,0,1,0,0,0,0
3252204011,0,0,1,0,0,0,0
3252714574,0,0,1,0,0,0,0
3253225387,0,0,1,0,0,0,0
3253735565,0,0,1,0,0,0,0
3254245581,0,0,1,0,0,0,0
3254755606,0,0,1,0,0,0,0
3255255920,0,0,1,0,0,0,0
3255765479,0,0,1,0,0,0,0
3256276306,0,0,1,0,0,0,0
3256786470,0,0,1,0,0,0,0
3257297794,0,0,1,0,0,0,0
3257808919,0,0,1,0,0,0,0
3258319450,0,0,1,0,0,0,0
3258829273,0,0,1,0,0,0,0
3259329317,0,0,1,0,0,0,0
3259839348,0,0,1,0,0,0,0
3260339420,0,0,1,0,0,0,0
3260850386,0,0,1,0,0,0,0
3261360274,0,0,1,0,0,0,0
3261860393,0,0,1,0,0,0,0
3262370341,0,0,1,0,0,0,0
3262881370,0,0,1,0,0,0,0
3263391516,0,0,1,0,0,0,0
3263903041,0,0,1,0,0,0,0
3264414034,0,0,1,0,0,0,0
3264923350,0,0,1,0,0,0,0
3265433400,0,0,1,0,0,0,0
3265944372,0,0,1,0,0,0,0
3266454316,0,0,1,0,0,0,0
3266954749,0,0,1,0,0,0,0
3267464378,0,0,1,0,0,0,0
3267975427,0,0,1,0,0,0,0
3268485927,0,0,1,0,0,0,0
3268996360,0,0,1,0,0,0,0
3269508039,0,0,1,0,0,0,0
3270018601,0,0,1,0,0,0,0
3270529318,0,0,1,0,0,0,0
3271030349,0,0,1,0,0,0,0
3271530463,0,0,1,0,0,0,0
3272040274,0,0,1,0,0,0,0
3272551308,0,0,1,0,0,0,0
3273061424,0,0,1,0,0,0,0
3273572675,0,0,1,0,0,0,0
3274082274,0,0,1,0,0,0,0
3274583170,0,0,1,0,0,0,0
3275093793,0,0,1,0,0,0,0
3275604571,0,0,1,0,0,0,0
3276115457,0,0,1,0,0,0,0
3276615917,0,0,1,0,0,0,0
3277125445,0,0,1,0,0,0,0
3277625963,0,0,1,0,0,0,0
3278135544,0,0,1,0,0,0,0
3278646342,0,0,1,0,0,0,0
3279156318,0,0,1,0,0,0,0
3279656415,0,0,1,0,0,0,0
3280167844,0,0,1,0,0,0,0
3280678589,0,0,1,0,0,0,0
3281189054,0,0,1,0,0,0,0
3281699495,0,0,1,0,0,0,0
3282210620,0,0,1,0,0,0,0
3282721276,0,0,1,0,0,0,0
3283222309,0,0,1,0,0,0,0
3283732274,0,0,1,0,0,0,0
3284242273,0,0,1,0,0,0,0
3284755050,0,0,1,0,0,0,0
3285256349,0,0,1,0,0,0,0
3285766276,0,0,1,0,0,0,0
3286266647,0,0,1,0,0,0,0
3286777379,0,0,1,0,0,0,0
3287288572,0,0,1,0,0,0,0
3287798394,0,0,1,0,0,0,0
3288310238,0,0,1,0,0,0,0
3288820979,0,0,1,0,0,0,0
3289331274,0,0,1,0,0,0,0
3289841275,0,0,1,0,0,0,0
3290341340,0,0,1,0,0,0,0
3290851277,0,0,1,0,0,0,0
3291351355,0,0,1,0,0,0,0
3291851602,0,0,1,0,0,0,0
3292361923,0,0,1,0,0,0,0
3292872341,0,0,1,0,0,0,0
3293382565,0,0,1,0,0,0,0
3293885101,0,0,1,0,0,0,0
3294395800,0,0,1,0,0,0,0
3294906531,0,0,1,0,0,0,0
3295416275,0,0,1,0,0,0,0
3295916370,0,0,1,0,0,0,0
3296426621,0,0,1,0,0,0,0
3296927315,0,0,1,0,0,0,0
3297437356,0,0,1,0,0,0,0
3297938273,0,0,1,0,0,0,0
3298438337,0,0,1,0,0,0,0
3298950647,0,0,1,0,0,0,0
3299460733,0,0,1,0,0,0,0
3299971275,0,0,1,0,0,0,0
3300481276,0,0,1,0,0,0,0
3300981328,0,0,1,0,0,0,0
3301481378,0,0,1,0,0,0,0
3301991317,0,0,1,0,0,0,0
3302501471,0,0,1,0,0,0,0
3303012274,0,0,1,0,0,0,0
3303523275,0,0,1,0,0,0,0
3304033422,0,0,1,0,0,0,0
3304545017,0,0,1,0,0,0,0
3305055734,0,0,1,0,0,0,0
3305555946,0,0,1,0,0,0,0
3306065420,0,0,1,0,0,0,0
3306575386,0,0,1,0,0,0,0
3307075528,0,0,1,0,0,0,0
3307587010,0,0,1,0,0,0,0
3308097380,0,0,1,0,0,0,0
3308608274,0,0,1,0,0,0,0
3309118527,0,0,1,0,0,0,0
3309630188,0,0,1,0,0,0,0
3310141079,0,0,1,0,0,0,0
3310651408,0,0,1,0,0,0,0
3311161326,0,0,1,0,0,0,0
3311672722,0,0,1,0,0,0,0
3312182315,0,0,1,0,0,0,0
3312693277,0,0,1,0,0,0,0
3313203463,0,0,1,0,0,0,0
3313714276,0,0,1,0,0,0,0
3314225920,0,0,1,0,0,0,0
3314736362,0,0,1,0,0,0,0
3315246484,0,0,1,0,0,0,0
3315757275,0,0,1,0,0,0,0
3316267349,0,0,1,0,0,0,0
3316778320,0,0,1,0,0,0,0
3317288372,0,0,1,0,0,0,0
3317799321,0,0,1,0,0,0,0
3318302862,0,0,1,0,0,0,0
3318813407,0,0,1,0,0,0,0
3319323782,0,0,1,0,0,0,0
3319834313,0,0,1,0,0,0,0
3320344479,0,0,1,0,0,0,0
3320855420,0,0,1,0,0,0,0
3321365660,0,0,1,0,0,0,0
3321876435,0,0,1,0,0,0,0
3322387986,0,0,1,0,0,0,0
3322898605,0,0,1,0,0,0,0
3323408299,0,0,1,0,0,0,0
3323919414,0,0,1,0,0,0,0
3324430569,0,0,1,0,0,0,0
3324940274,0,0,1,0,0,0,0
3325440419,0,0,1,0,0,0,0
3325951320,0,0,1,0,0,0,0
3326461277,0,0,1,0,0,0,0
3326971274,0,0,1,0,0,0,0
3327474212,0,0,1,0,0,0,0
3327984410,0,0,1,0,0,0,0
3328485388,0,0,1,0,0,0,0
3328996350,0,0,1,0,0,0,0
3329506470,0,0,1,0,0,0,0
3330016274,0,0,1,0,0,0,0
3330526274,0,0,1,0,0,0,0
3331026826,0,0,1,0,0,0,0
3331537318,0,0,1,0,0,0,0
3332047275,0,0,1,0,0,0,0
3332559407,0,0,1,0,0,0,0
3333069436,0,0,1,0,0,0,0
3333580317,0,0,1,0,0,0,0
3334090277,0,0,1,0,0,0,0
3334590720,0,0,1,0,0,0,0
3335100386,0,0,1,0,0,0,0
3335602318,0,0,1,0,0,0,0
3336112278,0,0,1,0,0,0,0
3336624202,0,0,1,0,0,0,0
3337135201,0,0,1,0,0,0,0
3337645416,0,0,1,0,0,0,0
3338146277,0,0,1,0,0,0,0
3338657154,0,0,1,0,0,0,0
3339166428,0,0,1,0,0,0,0
3339677277,0,0,1,0,0,0,0
3340187317,0,0,1,0,0,0,0
3340698319,0,0,1,0,0,0,0
3341209954,0,0,1,0,0,0,0
3341720380,0,0,1,0,0,0,0
3342230531,0,0,1,0,0,0,0
3342741332,0,0,1,0,0,0,0
3343251274,0,0,1,0,0,0,0
3343762275,0,0,1,0,0,0,0
3344272376,0,0,1,0,0,0,0
3344783369,0,0,1,0,0,0,0
3345286015,0,0,1,0,0,0,0
3345796480,0,0,1,0,0,0,0
3346306792,0,0,1,0,0,0,0
3346817312,0,0,1,0,0,0,0
3347327276,0,0,1,0,0,0,0
3347838291,0,0,1,0,0,0,0
3348348323,0,0,1,0,0,0,0
3348859453,0,0,1,0,0,0,0
3349368996,0,0,1,0,0,0,0
3349879388,0,0,1,0,0,0,0
3350389274,0,0,1,0,0,0,0
3350890323,0,0,1,0,0,0,0
3351401125,0,0,1,0,0,0,0
3351911460,0,0,1,0,0,0,0
3352421279,0,0,1,0,0,0,0
3352921417,0,0,1,0,0,0,0
3353431318,0,0,1,0,0,0,0
3353942315,0,0,1,0,0,0,0
3354442426,0,0,1,0,0,0,0
3354952277,0,0,1,0,0,0,0
3355452844,0,0,1,0,0,0,0
3355962456,0,0,1,0,0,0,0
3356473274,0,0,1,0,0,0,0
3356983298,0,0,1,0,0,0,0
3357484068,0,0,1,0,0,0,0
3357994519,0,0,1,0,0,0,0
3358505610,0,0,1,0,0,0,0
3359015546,0,0,1,0,0,0,0
3359524561,0,0,1,0,0,0,0
3360035451,0,0,1,0,0,0,0
3360546415,0,0,1,0,0,0,0
3361056275,0,0,1,0,0,0,0
3361566776,0,0,1,0,0,0,0
3362077433,0,0,1,0,0,0,0
3362587276,0,0,1,0,0,0,0
3363099585,0,0,1,0,0,0,0
3363610273,0,0,1,0,0,0,0
3364120292,0,0,1,0,0,0,0
3364631485,0,0,1,0,0,0,0
3365141273,0,0,1,0,0,0,0
3365652309,0,0,1,0,0,0,0
3366162568,0,0,1,0,0,0,0
3366673275,0,0,1,0,0,0,0
3367183376,0,0,1,0,0,0,0
3367694903,0,0,1,0,0,0,0
3368205524,0,0,1,0,0,0,0
3368715389,0,0,1,0,0,0,0
3369215508,0,0,1,0,0,0,0
3369724274,0,0,1,0,0,0,0
3370235520,0,0,1,0,0,0,0
3370735616,0,0,1,0,0,0,0
3371245387,0,0,1,0,0,0,0
3371755864,0,0,1,0,0,0,0
3372266353,0,0,1,0,0,0,0
3372777317,0,0,1,0,0,0,0
3373287280,0,0,1,0,0,0,0
3373798963,0,0,1,0,0,0,0
3374309460,0,0,1,0,0,0,0
3374819959,0,0,1,0,0,0,0
3375330296,0,0,1,0,0,0,0
3375830515,0,0,1,0,0,0,0
3376340275,0,0,1,0,0,0,0
3376842295,0,0,1,0,0,0,0
3377352836,0,0,1,0,0,0,0
3377863881,0,0,1,0,0,0,0
3378374649,0,0,1,0,0,0,0
3378884376,0,0,1,0,0,0,0
3379384453,0,0,1,0,0,0,0
3379885681,0,0,1,0,0,0,0
3380395412,0,0,1,0,0,0,0
3380895589,0,0,1,0,0,0,0
3381405413,0,0,1,0,0,0,0
3381907276,0,0,1,0,0,0,0
3382417371,0,0,1,0,0,0,0
3382929030,0,0,1,0,0,0,0
3383439400,0,0,1,0,0,0,0
3383949297,0,0,1,0,0,0,0
3384460357,0,0,1,0,0,0,0
3384971484,0,0,1,0,0,0,0
3385481276,0,0,1,0,0,0,0
3385981346,0,0,1,0,0,0,0
3386491275,0,0,1,0,0,0,0
3387001277,0,0,1,0,0,0,0
3387501333,0,0,1,0,0,0,0
