timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3082862828,3670026,3670026,0,0,0,0,0,0,0,0,800.7718,800.7718,4003.859,8007.718,0.023389222,0.006747033,2.2585922e-10,0.18543093,-0.19009392,-9.840106,0.008176538,-0.0019066966,-0.005228673,0.00041922077,0.00044446244,0.00024732793,9.841451e-06,4.9423772e-05,5.3341087e-06,36.15649,36.15649
3083896801,3670026,3670026,0,0,0,0,0,0,0,0,800.77167,800.77167,4003.8584,8007.717,0.022820063,0.006905722,3.2309191e-10,0.1863772,-0.19682619,-9.839514,0.008378812,-0.002537612,-0.0051830187,0.019355413,0.011734112,0.02003877,1.9266312e-05,8.874657e-05,1.4156004e-05,36.15785,36.15785
3084936022,3670026,3670026,0,0,0,0,0,0,0,0,800.7716,800.7716,4003.858,8007.716,0.022466943,0.0067301476,2.3014911e-10,0.17302896,-0.19278112,-9.8342495,0.008147942,-0.0024241423,-0.004872253,0.0004939045,0.00041255952,0.00039955974,1.0765333e-05,5.0040937e-05,5.049519e-06,36.168247,36.168247
3085874976,3670026,3670026,0,0,0,0,0,0,0,0,800.77155,800.77155,4003.8574,8007.715,0.02196674,0.0068355245,2.510053e-10,0.17604223,-0.19436358,-9.839981,0.007966022,-0.0026644294,-0.005418265,0.0014358661,0.00039480432,0.00038544464,1.2016408e-05,5.42586e-05,5.150664e-06,36.178066,36.178066
3086918922,3670026,3670026,0,0,0,0,0,0,0,0,800.77136,800.77136,4003.857,8007.714,0.020684598,0.007293072,2.5029892e-10,0.18103585,-0.19429517,-9.839086,0.008111228,-0.0022814414,-0.0053472472,0.0003954075,0.00034383606,0.00023469276,9.79791e-06,5.974263e-05,5.940686e-06,36.1924,36.1924
3087858019,3670026,3670026,0,0,0,0,0,0,0,0,800.7713,800.7713,4003.8564,8007.713,0.020323224,0.0068365647,2.5099697e-10,0.18313932,-0.19911778,-9.836008,0.0084035415,-0.0023321682,-0.004828565,0.0005281606,0.00035523536,0.0002739999,8.713558e-06,5.351976e-05,6.76303e-06,36.189896,36.189896
3088907044,3670026,3670026,0,0,0,0,0,0,0,0,800.77124,800.77124,4003.856,8007.712,0.022619834,0.0068067764,2.3302632e-10,0.18212464,-0.1946543,-9.836845,0.008311599,-0.0019504484,-0.0050714198,0.0008580208,0.0003351832,0.00028295678,9.371841e-06,5.0222443e-05,5.4002303e-06,36.202007,36.202007
3089846154,3670026,3670026,0,0,0,0,0,0,0,0,800.7711,800.7711,4003.8555,8007.711,0.023236414,0.0071113734,2.5887195e-10,0.18984309,-0.19367382,-9.847574,0.008248825,-0.0021945715,-0.005183653,0.0009095247,0.00068259024,0.00027820244,1.1834665e-05,5.6305787e-05,6.512055e-06,36.20586,36.20586
3090895122,3670026,3670026,0,0,0,0,0,0,0,0,800.77106,800.77106,4003.8552,8007.7104,0.022901665,0.007394343,2.781445e-10,0.1768859,-0.19447759,-9.836202,0.008416858,-0.0019567893,-0.0052927155,0.018927896,0.004960314,0.016467705,4.8029913e-05,8.4070045e-05,1.786292e-05,36.217636,36.217636
3091939148,3670026,3670026,0,0,0,0,0,0,0,0,800.771,800.771,4003.8545,8007.709,0.029264612,0.006868273,2.2478405e-10,0.17648117,-0.189826,-9.841566,0.008337596,-0.0013588462,-0.0052844724,0.0066565718,0.0043122084,0.0017278212,1.5297797e-05,9.2061375e-05,7.621475e-06,36.22964,36.22964
